event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
152,-23.1645,54.7439,100,2.24059,22406,0,66
100,48.0283,55.8065,100,2.30215,23022,0,74
177,27.9321,-4.0218,100,2.87968,28797,0,83
41,-23.1545,14.1316,100,2.82354,28236,0,76
172,-2.33048,-58.1461,100,3.44243,34424,23,111
153,12.5109,22.9255,100,3.23114,32312,0,83
101,68.6663,39.6307,100,2.8017,28015,0,81
173,-5.28389,-60.5009,100,0,0,0,0
178,20.5596,19.4671,100,2.78425,27842,0,63
9,-50.5226,4.08216,100,2.61201,26121,0,64
79,-32.9618,-61.4974,100,2.49934,24993,0,66
42,-7.50889,-32.4882,100,3.07466,30747,0,84
53,10.9448,-66.9735,100,2.94648,29464,0,83
198,13.8121,10.7104,100,3.03252,30326,0,72
199,52.6108,63.9411,100,0,0,0,0
102,67.1495,71.1365,100,2.96322,29632,0,69
200,74.6492,77.1694,100,2.81864,28186,0,59
43,-42.4314,26.7807,100,2.93346,29334,0,66
201,29.8275,-49.7517,100,0,0,0,0
179,-2.95486,47.0954,100,4.46331,44632,0,102
103,16.5667,54.8547,100,2.71306,27130,0,70
80,0.428854,-47.5022,100,2.17297,21730,0,63
54,-37.0425,23.6978,100,2.66111,26611,0,72
220,-20.1776,-79.6066,100,3.09646,30965,0,71
104,-16.5368,-33.6472,100,2.5129,25132,0,69
202,52.1995,-8.08058,100,4.60515,46051,0,98
180,75.6631,77.2051,100,3.86153,38615,0,121
221,38.343,-10.5961,100,2.43465,24346,0,60
105,-6.59492,-53.4887,100,2.13893,21389,0,73
203,-74.7849,40.8219,100,2.36628,23662,0,82
181,-25.2999,-28.0199,100,2.22533,22253,0,61
222,66.9236,13.5764,100,2.28996,22899,0,67
10,174,-51.1556,-7.55587,-49.2953,-42.819,100,100,3.17226,5.0127231724,,0,,0
127
81,-19.956,76.3076,100,2.73569,27357,0,77
223,19.3654,28.4068,100,0,0,0,0
106,21.5395,-23.8765,100,4.05817,40581,0,101
55,58.4302,49.4379,100,2.59003,25901,0,73
56,-71.2777,24.1956,100,0,0,0,0
182,42.065,-3.817,100,2.46201,24620,0,68
204,-8.97355,-12.8018,100,4.45729,44570,0,128
107,-40.1522,-24.6625,100,2.30967,23097,0,56
205,-42.9257,-71.3008,100,0,0,0,0
183,77.5103,-32.5438,100,0,0,0,0
224,43.1764,58.6319,100,2.5544,25544,0,65
108,-77.9562,73.0106,100,2.44235,24424,0,74
184,42.573,-60.4159,100,2.69165,26917,0,77
109,-12.19,30.1681,100,0,0,0,0
225,0.460829,-2.76943,100,2.43959,24396,0,58
175,60.5585,-29.0939,100,2.31132,23113,0,58
206,-32.3243,-31.1548,100,2.44145,24414,0,73
185,15.8087,-38.3076,100,0,0,1,0
11,2.82886,-30.8663,100,2.56915,25691,0,71
242,11.9493,-78.8417,100,2.7358,27358,0,78
