event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
125,19.5221,138.806,50,1.70851,17085,0,44
126,16.2365,115.99,50,0,0,0,0
127,67.3667,69.949,50,1.63917,16392,0,46
128,71.5125,28.7529,50,1.73817,17381,0,54
129,34.8772,29.1517,50,1.64705,16471,0,48
130,78.8103,85.086,50,1.84636,18464,0,43
131,55.3002,43.5925,50,1.54314,15431,0,40
132,36.6507,131.365,50,2.07844,20782,0,59
133,96.8123,80.522,50,1.79306,17930,0,42
134,79.5388,76.7645,50,2.72209,27221,0,78
135,100.486,77.0595,50,2.05981,20597,0,68
136,41.2426,111.867,50,1.89224,18922,0,74
137,100.9,76.2669,50,2.7329,27329,0,55
138,69.2991,129.391,50,2.58824,25883,0,63
139,42.0643,159.343,50,2.28823,22882,0,48
140,53.6131,114.322,50,1.70462,17046,0,41
141,65.8696,107.367,50,1.7138,17139,0,54
142,92.8643,88.0184,50,1.75614,17561,0,52
143,64.5234,31.2496,50,1.78485,17849,0,43
144,19.3264,139.93,50,1.85642,18564,0,56
145,83.7206,114.394,50,2.81436,28144,0,64
146,80.1071,121.615,50,3.10664,31065,0,82
147,63.0537,55.181,50,2.34114,23412,0,52
148,96.7684,89.4183,50,2.00869,20086,0,59
149,27.3359,142.12,50,3.10711,31069,0,63
150,42.6629,105.03,50,1.65785,16579,0,40
151,58.7032,139.916,50,1.8744,18743,0,52
152,22.763,91.1422,50,1.92811,19281,0,45
153,47.9212,38.152,50,1.5942,15942,0,39
154,55.0602,74.0734,50,1.62888,16289,0,46
155,26.6166,154.218,50,3.45994,34600,0,76
156,83.9073,70.713,50,0,0,0,0
157,64.8614,105.083,50,2.0011,20011,0,55
158,43.575,113.699,50,1.99252,19924,0,36
159,41.2297,158.303,50,1.48852,14885,0,45
160,35.7246,141.922,50,2.43811,24383,0,58
161,52.7905,79.1872,50,1.61046,16105,0,61
162,90.959,43.8901,50,2.22895,22291,0,48
163,81.6653,64.3941,50,1.26842,12683,0,33
164,61.8913,33.5868,50,1.42137,14214,0,47
165,92.4794,88.1524,50,2.55099,25509,0,53
166,41.8091,51.5448,50,1.70554,17055,0,39
167,49.2707,84.2613,50,1.56415,15641,0,54
168,46.5073,148.381,50,2.24419,22442,0,65
169,55.568,124.665,50,2.12548,21256,0,65
170,35.3792,153.804,50,1.97687,19770,0,41
171,67.8792,108.947,50,2.77482,27748,0,62
172,48.9795,107.942,50,4.22765,42276,0,115
173,48.9948,56.8654,50,1.65227,16523,0,41
174,25.4004,110.745,50,1.84245,18424,0,36
175,33.2984,101.354,50,2.29822,22982,0,64
176,52.8048,155.533,50,2.20689,22069,0,68
177,47.3079,74.4173,50,2.17105,21710,0,78
178,76.671,110.457,50,1.88768,18877,0,63
179,100.222,92.277,50,2.15119,21513,0,67
180,34.3975,82.149,50,1.48657,14866,0,43
181,47.1473,25.5997,50,2.37118,23712,0,88
182,73.4572,111.501,50,4.07445,40746,0,100
183,76.2048,25.9512,50,1.81251,18126,0,39
184,72.6934,132.948,50,1.97519,19753,0,48
185,41.901,153.57,50,2.30139,23014,0,72
186,41.4182,128.095,50,2.0129,20129,0,58
187,45.9438,157.958,50,2.31366,23137,0,76
188,98.5463,118.749,50,3.7524,37525,0,86
189,103.322,117.162,50,0,0,0,0
190,51.2092,61.8686,50,4.03487,40348,0,105
191,60.9496,137.104,50,1.69875,16987,0,46
192,24.7115,27.2598,50,1.827,18270,0,52
193,65.2365,101.656,50,2.02621,20263,0,50
194,17.6248,87.1237,50,2.24992,22499,0,57
195,46.5198,49.5727,50,2.21271,22127,0,45
196,31.7945,66.3282,50,1.9912,19911,0,63
197,35.151,73.9723,50,2.0351,20351,0,75
198,49.517,54.9042,50,2.41666,24167,0,56
199,101.553,99.8456,50,2.15033,21505,0,55
