freq_GHz,S11_dB,S21_dB
1.986499999999999932e+00,-2.017556525765983721e+01,-1.102016254956560637e+00
1.998750000000000027e+00,-2.065779917909418373e+01,-1.106635775779934772e+00
2.011000000000000121e+00,-2.114048048740453112e+01,-1.111248658414921486e+00
2.023249999999999993e+00,-2.161916470179480498e+01,-1.115854963424750101e+00
2.035499999999999865e+00,-2.208944425071925721e+01,-1.120454750457302140e+00
2.047750000000000181e+00,-2.254698924015976402e+01,-1.125048078264365703e+00
2.060000000000000053e+00,-2.298758750341809431e+01,-1.129635004720366265e+00
2.072249999999999925e+00,-2.340718356198429362e+01,-1.134215586840604750e+00
2.084499999999999797e+00,-2.380191613711355103e+01,-1.138789880799003784e+00
2.096750000000000114e+00,-2.416815386514980801e+01,-1.143357941945390532e+00
2.108999999999999986e+00,-2.450252888624824266e+01,-1.147919824822322354e+00
2.121249999999999858e+00,-2.480196799581892719e+01,-1.152475583181475471e+00
2.133500000000000174e+00,-2.506372107055742404e+01,-1.157025269999607975e+00
2.145750000000000046e+00,-2.528538650613681327e+01,-1.161568937494109388e+00
2.157999999999999918e+00,-2.546493343127587750e+01,-1.166106637138154101e+00
2.170249999999999790e+00,-2.560072049271560601e+01,-1.170638419675465558e+00
2.182500000000000107e+00,-2.569151103735259412e+01,-1.175164335134707860e+00
2.194749999999999979e+00,-2.573648455110319944e+01,-1.179684432843512321e+00
2.206999999999999851e+00,-2.573524424869484406e+01,-1.184198761442155412e+00
2.219250000000000167e+00,-2.568782074418325934e+01,-1.188707368896891658e+00
2.231500000000000039e+00,-2.559467176824527712e+01,-1.193210302512959231e+00
2.243749999999999911e+00,-2.545667793486236619e+01,-1.197707608947262248e+00
2.255999999999999783e+00,-2.527513459655084560e+01,-1.202199334220743543e+00
2.268250000000000099e+00,-2.505173986347376314e+01,-1.206685523730454568e+00
2.280499999999999972e+00,-2.478857889725148667e+01,-1.211166222261332415e+00
2.292749999999999844e+00,-2.448810462474495608e+01,-1.215641473997693289e+00
2.305000000000000160e+00,-2.415311505019915472e+01,-1.220111322534449094e+00
2.317250000000000032e+00,-2.378672737559748995e+01,-1.224575810888055560e+00
