freq_GHz,S11_dB,S21_dB,Z0_ohm
1.715000000000000080e+00,-2.405759040293521878e+01,-7.293817480729818392e-01,5.712889645782536974e+01
1.721333333333333160e+00,-2.415221100890768469e+01,-7.312661819353593051e-01,5.676247527722838981e+01
1.727666666666666462e+00,-2.417676305672792481e+01,-7.331485369102560545e-01,5.638489630610863657e+01
1.733999999999999986e+00,-2.413114900291475351e+01,-7.350288228993748785e-01,5.599854990257203013e+01
1.740333333333333288e+00,-2.401650404657798887e+01,-7.369070497212831805e-01,5.560588192914825356e+01
1.746666666666666590e+00,-2.383517618519668702e+01,-7.387832271124110672e-01,5.520937826864602727e+01
1.752999999999999892e+00,-2.359068496284039185e+01,-7.406573647280332295e-01,5.481154908665032366e+01
1.759333333333333194e+00,-2.328765963558290863e+01,-7.425294721432363909e-01,5.441491294029163583e+01
1.765666666666666496e+00,-2.293175784047474153e+01,-7.443995588538711017e-01,5.402198083388977068e+01
1.772000000000000020e+00,-2.252956619697337715e+01,-7.462676342774893223e-01,5.363524032241337380e+01
1.778333333333333321e+00,-2.208848458715634067e+01,-7.481337077542670189e-01,5.325713976339093136e+01
1.784666666666666401e+00,-2.161659614778842098e+01,-7.499977885479137685e-01,5.289007281697109875e+01
1.790999999999999925e+00,-2.112252525834291106e+01,-7.518598858465674883e-01,5.253636329225856372e+01
1.797333333333333227e+00,-2.061528601997267529e+01,-7.537200087636752865e-01,5.219825043585928626e+01
1.803666666666666529e+00,-2.010412388749275081e+01,-7.555781663388625446e-01,5.187787475576993756e+01
1.810000000000000053e+00,-1.959835323672896479e+01,-7.574343675387870123e-01,5.157726447035656037e+01
1.816333333333333355e+00,-1.910719372099898195e+01,-7.592886212579814664e-01,5.129832266821112086e+01
1.822666666666666435e+00,-1.863960829176523148e+01,-7.611409363196827149e-01,5.104281526017307158e+01
1.828999999999999959e+00,-1.820414572926228658e+01,-7.629913214766496088e-01,5.081235979978929862e+01
1.835333333333333261e+00,-1.780879044966512126e+01,-7.648397854119667327e-01,5.060841524298670890e+01
1.841666666666666563e+00,-1.746082222752408342e+01,-7.666863367398383255e-01,5.043227271178700022e+01
